Old Key,New Key
admin.dialog.internal-storage.captions.storageLocation,admin.internalStorage.dialog.field.storageLocation
admin.dialog.internal-storage.captions.url,admin.internalStorage.dialog.field.url
admin.dialog.internal-storage.edit,admin.internalStorage.dialog.title.edit
admin.edit.banner,admin.banner.action.edit
admin.edit.images,admin.edit.images
admin.edit.repositories,admin.edit.repositories
admin.edit.theme,admin.edit.theme
admin.image,admin.images.sectionTitle
admin.images.actions.delete,admin.images.actions.delete
admin.images.current.title,admin.images.current.title
admin.images.dialog.cancel,admin.images.dialog.cancel
admin.images.dialog.delete,admin.images.dialog.delete
admin.images.dialog.warning,admin.images.dialog.warning
admin.images.title,admin.images.title
admin.images.upload.button,admin.images.upload.button
admin.images.upload.drag-drop,admin.images.upload.drag-drop
admin.images.upload.error,admin.images.upload.error
admin.images.upload.file-size-too-large,admin.images.upload.file.size-too-large
admin.images.upload.file-types,admin.images.upload.file-types
admin.images.upload.image-type,admin.images.upload.image-type
admin.images.upload.invalid-file-type,admin.images.upload.invalid-file-type
admin.images.upload.max-size,admin.images.upload.max-size
admin.images.upload.success,admin.images.upload.success
admin.images.upload.title,admin.images.upload.title
admin.internal-storage,admin.internalStorage.sectionTitle
admin.internal-storage-translations,admin.internalStorage.translation.sectionTitle
admin.internal-storage-translations-no-selected,admin.internal-storage-translations-no-selected
admin.recommended-repositories,admin.recommended-repositories.sectionTitle
admin.repositories.current,admin.recommended-repositories.current
admin.repositories.delete-dialog.cancel,admin.repositories.delete-dialog.cancel
admin.repositories.delete-dialog.confirm,admin.repositories.delete-dialog.confirm
admin.repositories.delete-dialog.message,admin.recommended-repositories.delete-dialog.message
admin.repositories.delete-dialog.name,admin.repositories.delete-dialog.name
admin.repositories.delete-dialog.repositoryId,admin.recommended-repositories.delete-dialog.repositoryId
admin.repositories.delete-dialog.title,admin.repositories.delete-dialog.title
admin.repositories.empty,admin.recommended-repositories.empty
admin.repositories.title,admin.recommended-repositories.title
admin.reset-selection,admin.internalStorage.selection.reset
admin.table.action.delete,admin.internalStorage.table.action.delete
admin.table.action.edit,admin.internalStorage.table.action.edit
admin.table.action.translation,admin.internalStorage.table.action.translation
admin.table.empty,admin.internalStorage.table.state.empty
admin.table.header.action,admin.internalStorage.table.header.actions
admin.table.header.active,admin.internalStorage.table.header.active
admin.table.header.backupFrequency,admin.internalStorage.table.header.backupFrequency
admin.table.header.backupLocation,admin.internalStorage.table.header.backupLocation
admin.table.header.description,admin.internalStorage.table.header.description
admin.table.header.languageCode,admin.internalStorage.translation.table.header.languageCode
admin.table.header.langugageCode,admin.internalStorage.translation.table.header.languageCode
admin.table.header.storageLocation,admin.internalStorage.table.header.storageLocation
admin.table.header.title,admin.internalStorage.table.header.title
admin.table.header.url,admin.internalStorage.table.header.url
admin.table.no-selected,admin.internalStorage.table.state.noneSelected
admin.template.sectionTitle,admin.template.sectionTitle
admin.edit.templates,admin.edit.templates
admin.templates.title,admin.templates.title
admin.templates.current,admin.templates.current
admin.templates.active,admin.templates.active
admin.templates.inactive,admin.templates.inactive
admin.templates.actions.delete,admin.templates.actions.delete
admin.templates.upload.title,admin.templates.upload.title
admin.templates.upload.name,admin.templates.upload.name
admin.templates.upload.placeholder,admin.templates.upload.placeholder
admin.templates.upload.basis,admin.templates.upload.basis
admin.templates.upload.info,admin.templates.upload.info
admin.templates.upload.dropzone,admin.templates.upload.dropzone
admin.templates.upload.button,admin.templates.upload.button
admin.templates.success.upload,admin.templates.success.upload
admin.templates.success.status,admin.templates.success.status
admin.templates.success.delete,admin.templates.success.delete
admin.templates.error.missing,admin.templates.error.missing
admin.templates.error.upload,admin.templates.error.upload
admin.templates.error.status,admin.templates.error.status
admin.templates.error.delete,admin.templates.error.delete
admin.templates.error.format,admin.templates.error.format
admin.templates.error.size,admin.templates.error.size
admin.theme,admin.theme.sectionTitle
admin.title,admin.pageTitle
admin.translation-info,admin.internalStorage.translation.info
agreement,consent-popup.agreement.gdprNotice
button.actions,button.actions
button.discard,actions-bar.buttons.discard
button.export,actions-bar.buttons.export
button.preview.content,actions-bar.buttons.preview.label
button.preview.tooltipDisabled,actions-bar.buttons.preview.hintWhenDisabled
button.save,actions-bar.buttons.save
button.version,button.version
contenttypes,dmp.steps.repositories.contenttypes
dashboard.dmp.heading,dashboard.dmp.heading
dashboard.dmp.text.dmp.link,info.how-to-create.dmp.text.dmp.link
dashboard.dmp.text.dmp.text,info.how-to-create.dmp.text.dmp.text
dashboard.dmp.text.fairprinciples.link,info.how-to-create.dmp.text.fairprinciples.link
dashboard.dmp.text.fairprinciples.text,info.how-to-create.dmp.text.fairprinciples.text
dashboard.dmp.text.middle,info.how-to-create.dmp.text.middle
dashboard.dmp.text.prefix,info.how-to-create.dmp.text.prefix
dashboard.dmp.text.suffix,info.how-to-create.dmp.text.suffix
dashboard.instructions.create.description,dashboard.cards.create-new-dmp.back-side
dashboard.instructions.create.heading,dashboard.cards.create-new-dmp.front-side
